UnixTime,Row,Segment,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight
1676721768,9171,BlankScreen1,32:48.4,779,488,770,491,-1,-1,76395.614,655.9651489,655.0440063,0.585821629,0.561379671,0.451317847,0.560993731,0,0
1676721768,9172,BlankScreen1,32:48.4,773,481,772,492,-1,-1,76402.541,655.8650513,655.2647705,0.585928559,0.561364293,0.451351523,0.561004639,0,0
1676721768,9173,BlankScreen1,32:48.4,772,470,769,490,3.075088501,3.38684082,76410.741,655.7501831,655.5275269,0.58590436,0.561351359,0.451271147,0.560979545,0,0
1676721768,9174,BlankScreen1,32:48.4,766,476,761,484,-1,-1,76419.121,655.5457764,655.7208862,0.585806727,0.561369538,0.451243222,0.560991049,0,0
1676721768,9175,BlankScreen1,32:48.4,766,498,766,480,-1,-1,76427.441,655.3972778,655.994751,0.585871398,0.56137228,0.451318264,0.560968637,0,0
1676721768,9176,BlankScreen1,32:48.4,-1,-1,-1,-1,-1,-1,76435.769,-1,-1,-1,-1,-1,-1,4,4
1676721768,9177,BlankScreen1,32:48.4,775,470,763,480,-1,-1,76444.096,655.2288208,656.2294312,0.585757077,0.561452389,0.451144099,0.560998678,0,0
1676721768,9178,BlankScreen1,32:48.4,776,480,759,481,-1,-1,76452.476,655.0891113,656.4998779,0.585800886,0.561333001,0.451186717,0.561011136,0,0
1676721768,9179,BlankScreen1,32:48.5,778,494,756,492,3.165222168,3.420013428,76460.778,654.9744263,656.784729,0.585669219,0.561385989,0.451068133,0.561027706,0,0
1676721768,9180,BlankScreen1,32:48.5,776,508,794,490,-1,-1,76469.12,654.8097534,656.9631958,0.585350752,0.561404347,0.450698227,0.561013937,0,0
1676721768,9181,BlankScreen1,32:48.5,886,485,875,481,-1,-1,76477.445,654.7362671,657.1577759,0.584942043,0.561344683,0.450354129,0.561008513,0,0
1676721768,9182,BlankScreen1,32:48.5,1002,474,981,476,3.151657104,3.392288208,76485.726,654.7078857,657.3123169,0.584477067,0.561321497,0.449905366,0.561032891,0,0
1676721768,9183,BlankScreen1,32:48.5,1118,472,1093,466,-1,-1,76494.06,654.6167603,657.3585815,0.584129572,0.561261177,0.449561626,0.561049819,0,0
1676721768,9184,BlankScreen1,32:48.5,1158,486,1172,450,-1,-1,76502.397,654.6435547,657.458313,0.584022164,0.561208904,0.449555129,0.561136723,0,0
1676721769,9185,BlankScreen1,32:48.5,-1,-1,1168,448,-1,3.384384155,76510.737,-1,657.5592651,-1,-1,0.44940722,0.56116575,4,0
1676721769,9186,BlankScreen1,32:48.5,1169,485,1162,448,-1,-1,76519.205,654.7163086,657.5192261,0.583935261,0.561225891,0.449291766,0.561132312,0,0
1676721769,9187,BlankScreen1,32:48.5,1169,485,1166,452,-1,-1,76527.623,654.8432007,657.5029907,0.583910286,0.561223626,0.449361354,0.561184704,0,0
1676721769,9188,BlankScreen1,32:48.5,1178,487,1181,424,3.173553467,3.39024353,76536.043,654.9768677,657.5033569,0.583820641,0.561183095,0.449191719,0.561221242,0,0
1676721769,9189,BlankScreen1,32:48.5,1174,485,1176,467,-1,-1,76544.082,655.0757446,657.3759766,0.583724678,0.561181962,0.449077815,0.56125313,0,0
1676721769,9190,BlankScreen1,32:48.5,1175,493,1170,464,-1,-1,76552.408,655.3037109,657.2831421,0.583667815,0.561131299,0.449122787,0.56131953,0,0
1676721769,9191,BlankScreen1,32:48.6,1168,503,1174,463,3.206604004,3.301696777,76560.726,655.5377808,657.1428833,0.58362031,0.561202943,0.448968619,0.561379731,0,0
1676721769,9192,BlankScreen1,32:48.6,1168,503,1170,458,-1,-1,76569.098,655.7755737,656.8788452,0.58348012,0.5612275,0.448872179,0.561431944,0,0
1676721769,9193,BlankScreen1,32:48.6,1176,482,1180,456,-1,-1,76577.431,656.1442261,656.6634521,0.583477914,0.561285377,0.44892773,0.561613977,0,0
1676721769,9194,BlankScreen1,32:48.6,1174,485,1178,458,3.21446228,3.299285889,76585.814,656.5922241,656.4376831,0.583357096,0.561323404,0.448792845,0.561688185,0,0
1676721769,9195,BlankScreen1,32:48.6,1180,504,1180,459,-1,-1,76594.101,656.9927979,656.1098022,0.583223939,0.561373949,0.448711842,0.561714828,0,0
